"","fit","lwr","upr"
"MSAT",60.1156485304253,41.4420151819363,78.7892818789142
"SNP Subset (R0)",70.2924707200153,62.7553535668821,77.8295878731485
"SNP Subset (R80)",67.4201861103427,60.9217943981344,73.9185778225511
