"","fit","lower","upper","piWidth"
"5",1520.83379174009,-715.462339418684,3757.12992289887,4472.59226231755
"10",1495.94894777275,-603.719316419841,3595.61721196534,4199.33652838518
"15",1414.69888357863,-730.505126011581,3559.90289316885,4290.40801918043
"20",1405.05333790988,-684.077508684038,3494.1841845038,4178.26169318784
"25",1391.0223933399,-696.684561066227,3478.72934774603,4175.41390881226
