"","fit","lower","upper","piWidth"
"5",657.470146854878,164.576230746053,1150.3640629637,985.78783221765
"10",653.923381052139,221.517419149273,1086.32934295501,864.811923805732
"15",682.506073256744,299.261561708062,1065.75058480543,766.489023097365
"20",696.210240697983,341.65735898603,1050.76312240994,709.105763423906
"25",687.194311799637,351.235719126772,1023.1529044725,671.917185345732
