"","fit","lower","upper","ciWidth"
"resamp_categorytotloc",103.054427856713,64.0423367400024,142.066518973424,78.0241822334221
"resamp_category10loc",102.618916725836,62.1934863199859,143.044347131687,80.850860811701
"resamp_category5loc",102.074295730886,57.5995281810215,146.54906328075,88.9495350997289
