"","QUAC_data_type_name","sample15","sample30","sample45","sample60","sample75","sample90","meanCI"
"1","Q. acerifolia genetic diversity: Microsatellites","8.80000000000001","7.2","6.39999999999999","5.59999999999999","4","0","5.91111111111111"
"2","SNP Subset (R0)","5.10469877074904","3.67387189911067","2.54420185594685","1.75078940507345","1.05690958777123","0","2.87179289100899"
"3","SNP Subset (R80)","1.4809315411066","1.48874648327603","1.29747577367927","1.05892466395748","0.789309159112221","0","1.12693853982147"
