"","fit","lower","upper","piWidth"
"QUAC_MSAT_resamp5loc",59.4340279472841,36.7880374838563,82.0800184107119,45.2919809268556
"QUAC_MSAT_resamp10loc",59.7938011653172,39.5354355326259,80.0521667980084,40.5167312653825
"QUAC_MSAT_resamptotloc",59.9414314890699,40.8878885982865,78.9949743798532,38.1070857815668
"QUBO_MSAT_resamp3loc",70.0806570891557,50.6107895045544,89.5505246737571,38.9397351692027
"QUBO_MSAT_resamp6loc",73.5296650707083,60.2228003563495,86.8365297850672,26.6137294287177
"QUBO_MSAT_resamptotloc",73.9769894745847,63.8569738928454,84.0970050563239,20.2400311634784
"QUAC_SNP_resamp5kloc",67.3250098172259,60.1471394473858,74.502880187066,14.3557407396802
"QUAC_SNP_resamp10kloc",67.3051861294053,60.2424133097995,74.3679589490111,14.1255456392116
"QUAC_SNP_resamptotloc",67.2855593264715,60.2127570218188,74.3583616311242,14.1456046093054
"QUBO_SNP_resamp2kloc",73.8544457270972,69.3103844795158,78.3985069746787,9.08812249516291
"QUBO_SNP_resamp4kloc",73.7285183768235,69.0912337390722,78.3658030145748,9.27456927550259
"QUBO_SNP_resamptotloc",73.8767312197017,69.4359755093781,78.3174869300253,8.8815114206472
