"","fit","lower","upper","piWidth"
"100",3072.02753258446,2136.96260307887,4007.09246209005,1870.12985901118
"250",3079.75296083279,2172.50795807492,3986.99796359066,1814.49000551574
"500",3072.23149198311,2164.55968356718,3979.90330039903,1815.34361683185
"750",3075.56713970666,2172.29875868567,3978.83552072766,1806.53676204199
"1000",3079.86959198701,2180.42780968516,3979.31137428886,1798.8835646037
