"","fit","lwr","upr","ciWidth"
"QUAC",259.86189119743,88.3693486728744,431.354433721986,342.985085049112
"QUAR",384.80258302743,214.912931663102,554.692234391759,339.779302728658
"QUAU",254.995002826879,80.9807101841989,429.009295469559,348.02858528536
"QUBO",318.603414362955,150.098272730375,487.108555995534,337.010283265159
"QUCA",327.766482214657,143.575799100792,511.957165328522,368.38136622773
"QUCE",399.319248053293,229.785734516529,568.852761590057,339.067027073527
"QUEN",513.202074629426,363.006915490587,663.397233768266,300.390318277679
"QUGE",246.524014926783,71.3670805804749,421.680949273091,350.313868692616
"QUGR",184.062363063058,-34.3794773325225,402.504203458639,436.883680791162
"QUHA",377.393067104186,204.127006272564,550.659127935809,346.532121663245
"QUHI",170.435001472097,-35.9249502769957,376.79495322119,412.719903498186
"QUOG",288.940095136343,106.290648468031,471.589541804654,365.298893336623
"QUPA",366.456494527125,188.528499429046,544.384489625204,355.855990196159
"QUTO",380.961281766336,206.940329084425,554.982234448248,348.041905363823
