"","fit","lwr","upr","ciWidth"
"MSAT",60.1156485304253,41.4420151819363,78.7892818789142,37.347266696978
"SNP Subset (R0)",70.2924707200153,62.7553535668821,77.8295878731485,15.0742343062663
"SNP Subset (R80)",67.4201861103427,60.9217943981344,73.9185778225511,12.9967834244167
